Symbol,Name,GICS Sector,Ret,Dividend Yield (Forward),PE Ratio (Forward),Price to Book Value,Market Cap (millions),Beta (3Y),Return on Equity (TTM)
DUK,Duke Energy,Utilities,0.001,0.0468,15.79843152,1.253632851,52393.2856,0.0922,0.071355
DVA,DaVita,Health Care,-0.0118,#N/A,16.32095739,2.567947228,11763.045,1.4391,0.081263
DVN,Devon Energy,Energy,0.0183,0.0077,25.30982133,2.311630806,20585.322,2.903,0.017592
DWDP,DowDuPont,Materials,-0.0185,0.023,16.33569269,1.552810219,157233.299,1.5643,0.023277
DXC,DXC Technology,Information Technology,-0.0132,0.0091,10.39444522,1.772931593,23911.16154,#N/A,0.167217
EA,Electronic Arts,Information Technology,0.0274,#N/A,27.34552908,9.143580573,42014.62898,1.057,0.241268
EBAY,eBay,Information Technology,-0.0018,#N/A,17.52308969,5.235503583,39769.05982,1.4947,-0.164364
ECL,Ecolab,Materials,-0.0066,0.0114,26.86608291,5.490324248,41731.60509,0.8707,0.207653
ED,Consolidated Edison,Utilities,-0.0035,0.0379,17.36159067,1.469140467,22997.16433,-0.0199,0.104108
EFX,Equifax,Industrials,-0.0003,0.0136,19.78086161,4.31818344,14140.63409,0.9698,0.169776
EIX,Edison International,Utilities,-0.0117,0.0398,14.93041318,1.68813576,19744.15873,-0.0534,0.035095
EL,The Estee Lauder,Consumer Staples,0.0042,0.0102,33.31972094,11.58691917,54586.02518,0.3293,0.255664
EMN,Eastman Chemical,Materials,-0.0184,0.0212,12.42888847,2.735959838,15170.66928,0.9814,0.274436
EMR,Emerson Electric,Industrials,-0.0026,0.0272,22.62373293,5.391969697,45788.64762,1.2164,0.215622
EOG,EOG Resources,Energy,0.0038,0.0063,23.26114486,4.007848656,67495.22761,1.1971,0.213196
EQIX,Equinix,Real Estate,-0.0174,0.0228,91.51880574,4.406195827,31462.90503,0.6548,0.037799
EQR,Equity Residential,Real Estate,-0.0139,0.0338,46.62411819,2.299408946,23573.04112,0.5853,0.06561
EQT,EQT,Energy,-0.0028,0.0023,22.16282256,1.150211755,13476.36884,0.4968,-0.027943
ES,Eversource Energy,Utilities,0.0034,0.0362,16.90075676,1.558432432,17428.719,0.2747,0.090805
ESRX,Express Scripts Holding,Health Care,0.0222,#N/A,8.267600238,2.280088536,42050.43402,1.0729,0.272996
ESS,Essex Property Trust,Real Estate,-0.0122,0.0312,50.7161706,2.498959217,15915.1528,0.5228,0.054777
ETFC,E*TRADE Financial,Financials,-0.0145,#N/A,18.06748056,2.75316186,17069.68586,1.2373,0.115354
ETN,Eaton,Industrials,-0.0142,0.0343,15.17208985,2.013129869,34752.231,1.1637,0.185839
ETR,Entergy,Utilities,0.0007,0.0444,12.60513185,1.762248889,14053.61021,0.5294,0.057867
EVHC,Envision Healthcare,Health Care,-0.0002,#N/A,11.91028061,0.810689296,5230.324271,-0.1628,0.020429
EW,Edwards Lifesciences,Health Care,0.0116,#N/A,30.63956792,9.213203537,29903.23092,0.7123,0.186087
EXC,Exelon,Utilities,-0.0078,0.0337,13.10397213,1.291246941,39035.2171,0.2566,0.10231
EXPD,Expeditors International,Industrials,-0.0055,0.0119,23.88764692,6.689090134,13240.75157,0.5845,0.269278
EXPE,Expedia Group,Consumer Discretionary,-0.0023,0.01,23.34556544,4.300456343,18040.25821,1.1108,0.075588
EXR,Extra Space Storage,Real Estate,-0.0064,0.0356,33.41907437,5.256898614,12320.87859,0.4237,0.213318
F,Ford Motor,Consumer Discretionary,-0.0043,0.0512,7.589164906,1.294058433,47102.1527,0.8541,0.231524
FAST,Fastenal,Industrials,-0.0172,0.0276,21.71524848,7.189587507,15615.74803,0.9471,0.301264
FB,Facebook,Information Technology,0.0035,#N/A,25.80951832,7.19522054,558489.4685,0.7906,0.253777
FBHS,Fortune Brands Home,Industrials,-0.0155,0.0141,15.93464057,3.586112795,8451.842834,1.3009,0.188125
FCX,Freeport-McMoRan,Materials,-0.0238,0.0117,8.993471819,2.962513074,25643.65736,2.5346,0.311638
FDX,FedEx,Industrials,-0.0131,0.0079,14.4480338,3.563714285,67332.88612,1.5053,0.266332
FE,FirstEnergy,Utilities,-0.0124,0.0421,14.25038439,2.244034122,16186.30162,0.387,-0.093324
FFIV,F5 Networks,Information Technology,-0.0017,#N/A,18.66661218,8.868681537,10878.39883,0.8053,0.355272
FIS,Fidelity National Info,Information Technology,0.0004,0.0124,20.02239303,3.305070743,34687.00949,0.952,0.133408
FISV,Fiserv,Information Technology,-0.0007,#N/A,23.90163975,10.29040281,30572.64589,0.7839,0.552576
FITB,Fifth Third Bancorp,Financials,0.0076,0.0208,12.28603548,1.430238484,21243.51174,1.2399,0.172696
FL,Foot Locker,Consumer Discretionary,-0.0061,0.0252,12.62464014,2.650245094,6739.687497,0.5984,0.100112
FLIR,FLIR Systems,Information Technology,0.0076,0.0117,25.60033937,4.241918149,7576.97367,0.5926,0.057626
FLR,Fluor,Industrials,-0.0039,0.0171,21.84916689,2.304252881,6904.232514,1.3783,0.035322
FLS,Flowserve,Industrials,-0.0086,0.0186,25.0729121,3.190785015,5377.260936,1.145,-0.000741
FMC,FMC,Materials,0.0252,0.0075,14.39553071,3.976029525,11874.92237,1.8143,0.396989
FOX,Twenty-First Century Fox,Consumer Discretionary,0.0075,0.0094,19.46860052,3.792760354,71953.1779,1.2123,0.238143
FOXA,Twenty-First Century Fox,Consumer Discretionary,-0.0275,0.0093,19.59383722,3.817190067,72416.3163,1.2374,0.238143
FRT,Federal Realty Investment,Real Estate,-0.0031,0.0337,37.65222862,4.183703715,8750.70148,0.3559,0.144574
FTI,TechnipFMC,Energy,-0.0026,0.0163,#N/A,1.0884134,14438.37626,0.8061,0.016826
FTV,Fortive,Industrials,-0.0074,0.0038,21.29005253,6.330062114,25905.03866,#N/A,0.317546
GD,General Dynamics,Industrials,0.0003,0.0183,17.99118434,5.070582863,59700.74303,0.818,0.261775
GE,General Electric,Industrials,-0.0067,0.034,14.71416193,2.141868709,119857.6644,0.7033,-0.109946
GGP,GGP,Real Estate,-0.0039,0.0432,42.15417816,2.321783937,19541.61284,1.0498,0.074048
GILD,Gilead Sciences,Health Care,-0.0131,0.0334,11.37409298,4.422864891,91070.26646,1.3059,0.158905
GIS,General Mills,Consumer Staples,-0.0046,0.046,13.55321044,4.87879055,24226.21317,0.7489,0.508459
GLW,Corning,Information Technology,-0.0168,0.0258,16.71349075,1.957761593,23714.76462,1.1272,-0.077985
GM,General Motors,Consumer Discretionary,-0.002,0.0352,6.775424212,1.784306122,61197.96295,1.5996,-0.133622
GOOG,Alphabet,Information Technology,-0.0106,#N/A,26.21087971,4.920027254,791264.7204,1.3006,0.108929
GOOGL,Alphabet,Information Technology,-0.0245,#N/A,26.46884147,4.96845783,799050.6125,1.2888,0.108929
GPC,Genuine Parts,Consumer Discretionary,-0.0092,0.0315,16.54301856,3.899995676,13689.16937,1.1397,0.18836
GPN,Global Payments,Information Technology,-0.0095,0.0004,22.50749766,4.645080177,18355.64073,1.1744,0.151551
GPS,Gap,Consumer Discretionary,-0.0135,0.0335,12.13221384,3.778986091,12081.299,0.5982,0.286383
GRMN,Garmin,Consumer Discretionary,-0.004,0.0345,19.60178069,2.908527422,11626.11472,0.9533,0.157447
GS,Goldman Sachs Group,Financials,0.0048,0.014,9.988174649,1.191293001,86217.9335,1.2634,0.065887
GT,Goodyear Tire & Rubber,Consumer Discretionary,-0.013,0.0229,6.925647217,1.244481105,5894.994333,1.6178,0.053428
GWW,W.W. Grainger,Industrials,-0.0178,0.0176,21.06261339,9.950893356,17619.0899,0.6897,0.367308
HAL,Halliburton,Energy,-0.0198,0.0147,19.43788204,5.013969635,41941.75005,1.2649,-0.043978
HAS,Hasbro,Consumer Discretionary,-0.001,0.0289,18.24773733,6.924465482,10880.82429,0.5464,0.119179
HBAN,Huntington Bancshares,Financials,0.0104,0.029,12.5878,1.665,16824.4219,1.4476,0.134633
HBI,Hanesbrands,Consumer Discretionary,-0.0052,0.0328,10.70916484,9.631031833,6796.58578,0.2266,0.075852
HCA,HCA Healthcare,Health Care,-0.0056,0.0134,11.8382185,#N/A,36412.69515,0.506,-0.401469
HCP,HCP,Real Estate,-0.0085,0.0608,43.82805475,2.184925822,11375.13913,0.5967,-0.001223
HD,Home Depot,Consumer Discretionary,-0.0002,0.022,20.26215113,131.1839541,221307.3397,1.0621,3.416667
HES,Hess,Energy,-0.0069,0.0162,#N/A,1.728392438,18327.8948,1.4905,-0.307442
HIG,Hartford Financial,Financials,-0.009,0.0191,11.38253514,1.429477729,18787.98247,0.7349,-0.186268
HII,Huntington Ingalls Indus,Industrials,0.0042,0.0129,13.86221075,5.768085603,9909.593803,0.8087,0.304389
HLT,Hilton Worldwide Holdings,Consumer Discretionary,0.0097,0.0073,30.51599606,14.32752999,24958.63604,1.4999,0.803678
HOG,Harley-Davidson,Consumer Discretionary,-0.01,0.0364,11.08904577,3.458082394,6902.125814,0.6247,0.261976
HOLX,Hologic,Health Care,0.0051,#N/A,17.0168377,4.242073298,10374.41422,0.821,-0.047029
HON,Honeywell International,Industrials,-0.0066,0.0199,18.66696556,6.362987239,111957.3077,1.0596,0.091372
HP,Helmerich & Payne,Energy,-0.0114,0.0431,203.3681653,1.538738671,6929.231348,1.3698,0.101553
HPE,Hewlett Packard Enterprise,Information Technology,-0.009,0.029,#N/A,1.024677606,24523.62,#N/A,0.112196
HPQ,HP,Information Technology,-0.0057,0.0246,11.6940365,#N/A,38349.45605,1.8373,-1.334396
HRB,H&R Block,Financials,0.035,0.0344,11.97476886,#N/A,5926.69832,-0.2303,-0.579765
HRL,Hormel Foods,Consumer Staples,-0.0161,0.021,19.63332357,3.721227964,19169.13444,-0.0638,0.189833
HRS,Harris,Information Technology,-0.0037,0.0149,23.58979483,5.789549333,18161.95982,0.9574,0.21123
HSIC,Henry Schein,Health Care,0.009,#N/A,17.13753058,3.732776765,10832.57825,1.0534,0.140515
HST,Host Hotels & Resorts,Real Estate,-0.0008,0.0365,24.67850921,2.294302799,16287.17166,1.4775,0.093401
HSY,The Hershey,Consumer Staples,-0.008,0.0292,16.95267864,19.47948133,18936.56174,0.0998,1.146625
HUM,Humana,Health Care,-0.0148,0.0069,21.058371,4.016107405,40486.82772,0.7283,0.174309
IBM,IBM,Information Technology,-0.0107,0.0442,10.41350498,7.276105418,132178.2555,1.0437,0.308359
